|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
PCCooler HW-NP HW700-NP|700 Вт|ATX|24+8+8(4+4) pin|500 мм|650 мм|2 шт|не модульная|20 А|20 А|54 А|0.3 А|3 А|648 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|гидродинамический|без 80+|2.31|500 мм|600 мм|500 мм|Есть|Есть|Есть|UVP|45 дБ|3 года|86x150x140 мм|1.55 кг|||||||||||||
Seasonic SFX SSP-300SFB|300 Вт|SFX|24+8 (4+4) pin|3 шт|1 шт||не модульная||||||||||активная|85 %|полупассивная|80 мм||80+ Bronze|2.31||||Есть|Есть|Есть|||3 года|64x125x100 мм|1 кг|Есть||||||||||||
PCCooler HW-NP HW600-NP|600 Вт|ATX|24+8+8(4+4) pin|500 мм|650 мм|2 шт|не модульная|20 А|20 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|гидродинамический|без 80+|2.31|500 мм|600 мм|500 мм|Есть|Есть|Есть|UVP|45 дБ|3 года|86x150x140 мм|1.35 кг|||||||||||||
PCCooler HW-NP HW500-NP|500 Вт|ATX|24+8+4 pin|400 мм|550 мм|1 шт|не модульная|14 А|16 А|38 А|0.3 А|2.5 А|456 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|гидродинамический|без 80+|2.31|450 мм|600 мм|450 мм|Есть|Есть|Есть|UVP|45 дБ|3 года|86x150x140 мм|1.25 кг|||||||||||||
Seasonic SFX SSP-300SFG|300 Вт|SFX|24+8 (4+4) pin|4 шт|2 шт||не модульная||||||||||активная|90 %|1 вентилятор|87 мм||80+ Gold|||||Есть|Есть|Есть|||3 года|63x100x125 мм||Есть||||||||||||
Corsair CX Series CP-9020123-EU|750 Вт|ATX|24+8 (4+4) pin|8 шт|8 шт|4 шт|не модульная||||||||||активная|90 %|1 вентилятор|128 мм||80+ Bronze|2.4||||Есть|Есть|Есть||32 дБ|5 лет|86x150x160 мм|2.13 кг|Есть|Есть|2.92|CP-9020123-EU, CP-9020123-UK|||||||||
Seasonic ES2-series SSP-600ES2|600 Вт|ATX|24+8 (4+4) pin|6 шт|6 шт|1 шт|не модульная|24 А|24 А|24 А|0.3 А|2.5 А|552 Вт|130 Вт|3.6 Вт|12.5 Вт|||1 вентилятор|80 мм||80+ Bronze|2.3||||Есть|Есть|Есть||||86x150x140 мм||Есть||||1 шт|24 А|||||||
Seasonic PRIME Ultra Titanium SSR-1000TR|1000 Вт|ATX|24+8+8(4+4) pin|14 шт|5 шт|6 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|996 Вт|125 Вт|3.6 Вт|15 Вт|активная|94 %|1 вентилятор|135 мм|гидродинамический|80+ Titanium||610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||12 лет|86x150x170 мм||Есть||||||||||||
Corsair RMi Series CP-9020084-EU|1000 Вт|ATX|24+8+8(4+4) pin|850 мм|750 мм|8 шт|модульная|25 А|25 А|83.3 А|0.8 А|3 А|1000 Вт|150 Вт|9.6 Вт|15 Вт|активная|92 %|1 вентилятор|135 мм||80+ Gold|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть||23 дБ|10 лет|86x150x180 мм|2 кг|Есть||2.92||||||||||
Cougar CMX 1200|1200 Вт|ATX|24+8+8(4+4) pin|10 шт|4 шт|6 шт|полумодульная|25 А|25 А|60 А|0.8 А|4 А|1176 Вт|160 Вт|||активная|89 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||3 года|180x150x86 мм||Есть|Есть|||||||||||
Aerocool Kcas 600W|600 Вт|ATX|24+8 (4+4) pin|7 шт|4 шт|2 шт|не модульная|20 А|20 А|45 А|0.4 А|2.5 А|540 Вт|130 Вт|4.8 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть||31 дБ|2 года|||Есть|Есть|2.92|ACPB-KC60AEC.11|||||||||
Thermaltake Toughpower XT TPX-775M|775 Вт|ATX|24+8+8(4+4) pin|8 шт|6 шт|2 шт|не модульная||||||||||активная|82 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||2.91||2 шт||||||||
Cougar CMX 1000|1000 Вт|ATX|24+8+8(4+4) pin|10 шт|7 шт|4 шт|полумодульная|25 А|25 А|60 А|0.8 А|4 А|1020 Вт|160 Вт|||активная|89 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||3 года|180x150x86 мм||Есть|Есть|||2 шт||||||||
Corsair CX Series V2 CP-9020278-EU|650 Вт|ATX|24+8 (4+4) pin|3 шт|2 шт|2 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм|скольжения|80+ Bronze|2.31||||Есть|Есть|Есть|||5 лет|86x150x125 мм|||||CP-9020278-EU, CP-9020278-UK|||||||||
Seasonic PRIME PX -1600|1600 Вт|ATX|24+8+8+8 pin|950 мм|690 мм|8 шт|модульная|25 А|25 А|133.3 А|0.5 А|3 А|1600 Вт|125 Вт|6 Вт|15 Вт|активная|92 %|полупассивная|135 мм|гидродинамический|80+ Platinum|3|610 мм|700 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||12 лет|86x150x210 мм||||||||2 шт||||||
Aerocool Kcas Plus M Kcas Plus 750M|750 Вт|ATX|24+8 (4+4) pin|7 шт|4 шт|4 шт|не модульная||||||||||активная|86 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||2 года|||||||||||||||
Gamemax VP Gamer Modular VP-700-RGB-M White|700 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|полумодульная|20 А|20 А|48 А|0.5 А|2.5 А|576 Вт|120 Вт|6 Вт|12.5 Вт|активная|85 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
Seasonic B12 BC B12-BC-550|550 Вт|ATX|24+8 (4+4) pin|690 мм|690 мм|2 шт|не модульная|15 А|15 А|45 А|0.3 А|2.5 А|540 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze||550 мм|600 мм|700 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм|||Есть|||||||||||
Cooler Master MWE Gold V2 ATX 3.0 MPE-C501-AFCAG-3G|1250 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|модульная|20 А|20 А|104 А|0.3 А|3 А|1248 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x180 мм|3.02 кг|||||||1 шт||||||
Cooler Master GX III MPX-8503-AFAG|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP||10 лет|86x150x160 мм|2.61 кг|||||||1 шт||||||
Cooler Master MWE Gold V2 ATX 3.0 MPE-A501-AFCAG-3G|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|модульная|20 А|20 А|87.5 А|0.3 А|3 А|1050 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x180 мм|2.93 кг|||||||1 шт||||||
Seasonic FOCUS GX ATX 3.0 FOCUS GX-750 ATX 3.0|750 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|2 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|610 мм|700 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x140 мм||||||||1 шт||||||
Seasonic FOCUS GX ATX 3.0 FOCUS GX-1000 ATX 3.0|1000 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|996 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|610 мм|700 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x140 мм||||||||1 шт||||||
Seasonic FOCUS GX ATX 3.0 FOCUS GX-850 ATX 3.0|850 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|20 А|20 А|70 А|0.3 А|3 А|840 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|610 мм|700 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x140 мм||||||||1 шт||||||
FSP Hydro Ti PRO HTI-850M|850 Вт|ATX|24+8+8(4+4) pin|500 мм|810 мм|5 шт|модульная|20 А|20 А|70.83 А|0.3 А|3 А|850 Вт|120 Вт|||активная|94 %|полупассивная|135 мм|гидродинамический|80+ Titanium|3|600 мм|700 мм|650 мм|Есть|Есть|Есть|OCP, OTP||2 года|86x150x150 мм||||2.92||||1 шт||||||
Zalman LX -ZM500|500 Вт|ATX|24+8 (4+4) pin|450 мм|4 шт|1 шт|не модульная||||||||||активная|84 %|1 вентилятор|120 мм||без 80+|2.3|500 мм|600 мм|500 мм|Есть|Есть|Есть|||3 года|86х140х150 мм|1.9 кг|Есть||||1 шт||||||||
Zalman LX -ZM600|600 Вт|ATX|24+8 (4+4) pin|450 мм|5 шт|2 шт|не модульная||||||||||активная|84 %|1 вентилятор|120 мм||без 80+|2.3|500 мм|600 мм|500 мм|Есть|Есть|Есть|||3 года|86х140х150 мм|1.95 кг|Есть||||||||||||
Zalman TX II v2 ZM500-TXIIv2|500 Вт|ATX|24+8+4 pin|430 мм|410 мм|2 шт|не модульная|22 А|20 А|37.5 А|0.5 А|3 А|450 Вт|110 Вт|6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+|2.31|550 мм|630 мм|410 мм|Есть|Есть|Есть||||86x140x150 мм|1.63 кг|Есть|Есть|||||||||||
Cooler Master Elite NEX White 230V MPW-5001-ACBW-B|500 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|18 А|16 А|38 А|0.3 А|2.5 А|456 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.41|550 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP||3 года|86x150x140 мм|1.47 кг|||||||||||||
Cooler Master Elite NEX White 230V MPW-6001-ACBW-B|600 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|19 А|17 А|46 А|0.3 А|2.5 А|552 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.41|550 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP||3 года|86x150x140 мм|1.49 кг|||||||||||||
Cooler Master Elite NEX White 230V MPW-7001-ACBW-B|700 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|2 шт|не модульная|19 А|17 А|54 А|0.3 А|2.5 А|648 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.41|550 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP||3 года|86x150x140 мм|1.53 кг|||||||||||||
Seasonic PRIME TX ATX 3.0 PRIME TX-1600 ATX 3.0|1600 Вт|ATX|24+8+8+8 pin|950 мм|690 мм|6 шт|модульная|25 А|25 А|133.3 А|0.5 А|3 А|1600 Вт|125 Вт|6 Вт|15 Вт|активная|94 %|полупассивная|135 мм|гидродинамический|80+ Titanium|3|610 мм|700 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||12 лет|86x150x210 мм||||||||2 шт||||||
Gamemax GM White GM-800 White|800 Вт|ATX|24+8 (4+4) pin|8 шт|3 шт|2 шт|полумодульная|20 А|20 А|30 А|0.5 А|2.5 А|720 Вт|130 Вт|6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть||25 дБ||85x150x160 мм|2.1 кг||Есть||||30 А|||||||
FSP Hydro Ti PRO HTI-1000M|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|810 мм|5 шт|модульная|20 А|20 А|83.33 А|0.3 А|3 А|1000 Вт|120 Вт|||активная|94 %|полупассивная|135 мм|гидродинамический|80+ Titanium|3|600 мм|700 мм|650 мм|Есть|Есть|Есть|OCP, OTP||2 года|86x150x150 мм||||2.92||||1 шт||||||
