|По направлению|Socket|Форм-фактор|Фазы питания|Радиатор VRM|Размеры (ВхШ)|DDR5|Форм-фактор слота для памяти|Режим работы|Максимальная тактовая частота|Максимальный объем памяти|Поддержка XMP|Поддержка EXPO|Слотов PCI-E 16x|Поддержка PCI Express|Стальные PCI-E разъемы|Выход HDMI|Версия HDMI|LAN (RJ-45)|Кол-во LAN-портов|LAN контроллер|Основной разъем питания|Питание процессора|Разъемов питания кулеров|CPU Fan 4-pin|Chassis/Water Pump Fan 4-pin|Чипсет|BIOS|UEFI BIOS|SATA 3 (6 Гбит/с)|M.2 разъем|Интерфейс M.2|Версия интерфейса M.2|Охлаждение SSD M.2|Интегрированный RAID контроллер|USB 2.0|USB 3.2 gen1|USB C 3.2 gen1|ARGB LED strip|Аудиочип|Звук (каналов)|USB 3.2 gen2|USB C 3.2 gen2|BIOS FlashBack|Тепловые трубки|POST-кодер|DDR4|Поддержка ECC|Встроенная видеокарта|Модель встроенной видеокарты|Выход D-Sub (VGA)|Wi-Fi|Bluetooth|CPU/Water Pump Fan 4-pin|Активное охлаждение|U.2 разъем|TPM-коннектор|RGB LED strip|Оптический S/P-DIF|USB4|Интерфейс Thunderbolt|Металлический бэкплейт|LED подсветка|Синхронизация подсветки|Слотов PCI-E 1x|Поддержка CrossFire (AMD)|Поддержка SLI (NVIDIA)|Поддержка DualBIOS|Дополнительно|PS/2|DDR3|Слотов PCI-E 8x|PCI-слотов|eSATA разьем|Выход DVI|Слотов PCI-E 4x|COM-порт|DisplayPort|Встроенный процессор|Модель встроенного процессора|Маркировка производителя|Режимы PCI-E|Версия DisplayPort|Разъем Thunderbolt AIC|Южный мост|USB C 3.2 gen2x2|Поддержка Alternate Mode|Усилитель|Clear CMOS|SAS разъем|IDE разъем|SATA 2 (3 Гбит/с)|Кол-во socket'ов|Поддержка AMP|Гибридный режим|Коаксиальный выход|Поддержка Power Delivery|Код EAN / UPS / GTIN|Водяное охлаждение|SATA3 (6 Гбит/с)|LPT-порт|SATA2 (3 Гбит/с)|USB C 3.2 gen3x2|mSATA|DDR2
ASRock A620I Lightning WiFi|для дома/офиса|AMD AM5|mini-ITX|11 / 8+2+1 /|Есть|170x170 мм|2 слота(ов)|DIMM|2-х канальный|7200 МГц|96 ГБ|Есть|Есть|1 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8-контактное|3 шт|2 шт|1 шт|AMD A620|Ami|Есть|2 шт|2 шт|2xPCI-E 4x|1x4.0, 1x3.0|Есть|Есть|2 шт|1 шт|1 шт|2 шт|Realtek ALC897|7.1|2 шт|1 шт|Есть|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ASRock WRX80 Creator R2.0|HEDT (High-End DeskTop)|AMD TRX4 / 3000WX/5000WX /|E-ATX|8 / 105A SPS /|Есть|305x272 мм||DIMM|2-х канальный|4400 МГц|2048 ГБ|||7 шт|4.0|Есть|||10 Гбит/с|2 шт|Aquantia AQC113CS|24-контактный|8+8-контактное / 1x6-pin 12V /|5 шт|1 шт|3 шт|AMD WRX80|Ami|Есть|8 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|1 шт|2 шт||2 шт|Realtek ALC4050H / + ALC1220 /|7.1|4 шт|1 шт||Есть|Есть|8 слота(ов)|Есть|Есть|Aspeed AST2500|Есть|Wi-Fi 6E (802.11ax)|+|1 шт|Есть|1 шт|Есть|1 шт|Есть|2 шт|v4 x 2 шт||||||||||||||||||||||||||||||||||||||||||||
Gigabyte X570 AORUS MASTER|игровая для разгона (overclocking)|AMD AM4|ATX|14|Есть|305x244 мм||DIMM|2-х канальный|4400 МГц|128 ГБ|Есть||3 шт|4.0|Есть|||2.5 Гбит/с / Realtek GbE /|2 шт|Intel GbE, Realtek GbE|24-контактный|8+8-контактное|7 шт|1 шт|5 шт|AMD X570|Ami|Есть|6 шт|3 шт|3xSATA/PCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|2 шт||2 шт|Realtek ALC1220-VB|7.1|5 шт|1 шт|||Есть|4 слота(ов)|||||Wi-Fi 6 (802.11ax)|Bluetooth v 5.0|1 шт|Есть||Есть|2 шт|Есть|||Есть|Есть|Gigabyte RGB Fusion|1 шт|Есть|Есть|Есть|Temperature sensor, Noise detection||||||||||||||||||||||||||||||||||||
Biostar TB360-BTC PRO|созданы для майнинга|Intel LGA 1151 v2|ATX||Есть|305x210 мм||DIMM|2-х канальный|2666 МГц|32 ГБ|||1 шт|3.0||Есть|v.1.4|1 Гбит/с|1 шт|Realtek RTL8111H|24+24-контактный|8-контактное / 2x6-Pin PCI-E /|3 шт|1 шт|2 шт|Intel B360|Ami|Есть|4 шт|1 шт|1xSATA||||2 шт|4 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||11 шт|||||2 шт|||||||||||||||||||||||||||||||||||
Asus P7H57D-V EVO|для дома/офиса|Intel LGA 1156|ATX|||305x244 мм||DIMM|2-х канальный|2133 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|8-контактное|4 шт|||Intel H57|Ami||2 шт|||||Есть|4 шт|2 шт|||Realtek ALC889|7.1||||||||||Есть||||||||Есть||||||3 шт|||||1 шт|4 слота(ов)|1 шт|2 шт|1 шт|DVI-D||||||||||||||||||||||||||||||
Asus P7H55-M LE|для дома/офиса|Intel LGA 1156|micro-ATX|||244x229 мм||DIMM|2-х канальный|1333 МГц|8 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|4-контактное|2 шт|||Intel H55|Ami||||||||6 шт||||VIA VT1708S|7.1||||||||||Есть|||||||||||||||||||2 шт|2 слота(ов)||2 шт||DVI-D|1 шт|Есть||||||||||||||||||||||||||||
Asus P7H55/USB3 P7H55\/USB3|для дома/офиса|Intel LGA 1156|ATX|||305x218 мм||DIMM|2-х канальный|2200 МГц|16 ГБ|Есть||1 шт|||||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|8-контактное|3 шт|||Intel H55|Ami||||||||6 шт|2 шт|||VIA 1708S|7.1||||||||||||||||||Есть||||||2 шт|||||2 шт|4 слота(ов)||1 шт|||1 шт|||||||||||||||||||||||||||||
Asus P8H67-V|для дома/офиса|Intel LGA 1155|ATX|||305x229 мм||DIMM|2-х канальный|1333 МГц|32 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт||24-контактный|8-контактное|4 шт|||Intel H67|Ami|Есть|2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||2 шт|||||1 шт|4 слота(ов)||3 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
MSI H67MA-E35|для дома/офиса|Intel LGA 1155|micro-ATX|||245x215 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|||1 шт|||Есть||1 Гбит/с|1 шт|Realtek RTL8111E|24-контактный|4-контактное|3 шт|||Intel H67|Ami||2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||2 шт|||||1 шт|2 слота(ов)||1 шт||DVI-D||||||||||||||||||||||||||||||
Gigabyte GA-PH67-DS3-B3|для дома/офиса|Intel LGA 1155|ATX|||305x215 мм||DIMM|2-х канальный|1333 МГц|32 ГБ|||1 шт|||||1 Гбит/с|1 шт|RTL8111E|24-контактный|4-контактное|4 шт|||Intel H67|Award||2 шт|||||Есть|6 шт||||Realtek ALC892|7.1||||||||||||||||||Есть||||||2 шт|||Есть||1 шт|4 слота(ов)||2 шт|||1 шт|Есть||||||||||||||||||||||||||||
