|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Corsair XMS3 DDR3 TR3X6G1600C9|6 ГБ|3 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.65 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Ripjaws DDR3 2x4Gb F3-10666CL9D-8 ГБRL|8 ГБ|2 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-12800CL9D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-14900CL9D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL9|9-10-9-28-2N|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill N Q DDR3 F3-10666CL9D-4 ГБNQ|4 ГБ|2 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-17000CL11D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|2133 МГц|17000 МБ/с|CL11|11-11-11-30|1.6 В|радиатор|стандартный|серия для разгона (overclocking)|||||
Kingston ValueRAM DDR2 KTH-XW667\/8G|8 ГБ|2 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с||5-5-5|1.8 В|радиатор|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Crucial Value DDR3 1x16Gb CT16G3ERSDD4186D|16 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 627812-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 647897-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|647897-B21, 664690-001||||
HP 1.35V DDR3 DIMM 1x8Gb 713983-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 731765-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|731656-081, 731765-B21, 735302-001||||
HP 1.5V DDR3 DIMM 1x8Gb 731761-B21|8 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 726718-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-40|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 759934-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-42|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 49Y3778|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR2 397411-B21|2 ГБ|2 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с|CL4|4-4-4|1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered)|||||
HP 1.35V DDR3 DIMM 1x8Gb 647877-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 647883-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 647899-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
