|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core 2 Duo E4300|Core 2 Duo|Conroe|Intel LGA 775|65 нм|1.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|9|61 °С|2 cores|64 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E4500|Core 2 Duo|Conroe|Intel LGA 775|65 нм|2.2 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|11|73 °С|2 cores|64 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7500|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.93 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7300|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.66 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|10|74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E6320|Core 2 Duo|Conroe|Intel LGA 775|65 нм|1.86 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|7|60 °С|2 cores|64 КБ|4096 КБ|||||||||||||||||||||||||||||||||||
Intel Pentium Conroe E2160|Pentium|Conroe|Intel LGA 775|65 нм|1.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|9|74 °С|2 cores|64 КБ|1024 КБ|2 threads||||||||||||||||||||||||||||||||||
Intel Pentium Conroe E2140|Pentium|Conroe|Intel LGA 775|65 нм|1.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|8|74 °С|2 cores|64 КБ|1024 КБ|2 threads||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7200|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.53 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|10|74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Pentium Sandy Bridge G620|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|26|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|3 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
Intel Celeron D Prescott 351|Celeron D|Prescott|Intel LGA 775|90 нм|3.2 ГГц|84 Вт|MMX, SSE, SSE2, SSE3|24|68 °С|1 cores|64 КБ|256 КБ|||||||||||||||||||||||||||||||||||
Intel Core i3 Sandy Bridge i3-2130|Core i3|Sandy Bridge|Intel LGA 1155|32 нм|3.4 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||65 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует||3 МБ|||2 шт|BX80623I32130|||||||||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3550|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.3 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4||67 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2500|5 ГТ/с|6 МБ|32 ГБ|1600 МГц|2 шт||3.7 ГГц||||||||||||||||||||||||||
AMD Fusion A6 A6-5400K BOX|Fusion A6|Trinity|AMD FM2|32 нм|3.6 ГГц|65 Вт|SSE3, SSE4.1/4.2, AES, AVX Plus FMA4, XOP||70 °С|2 cores|96 КБ|1024 КБ|2 threads|Radeon HD 7540D||||1866 МГц|2 шт|AD540KOKHJBOX|3.8 ГГц|BOX (без кулера)|Есть||||||||||||||||||||||||
Intel Pentium Sandy Bridge G645|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.9 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|29|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|3 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
AMD Opteron 4184|Opteron|Lisbon|AMD C32|45 нм|2.8 ГГц|75 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow||70 °С|6 cores||||||||||||||384 КБ|3072 КБ|6 МБ|||||||||||||||||||||
