|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
HP For Server P18436-B21 P18436-B21|внутренний|для сервера|960 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP RI LFF SCC DS P09687-B21 P09687-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D MLC NAND|495 МБ/с|535 МБ/с||||||||||||||||||||||||||
Kingston SSDNow VP SNVP325-S2/512GB SNVP325-S2\/512 ГБ|внутренний||512 ГБ|"2.5"""||MLC|180 МБ/с|230 МБ/с|128 МБ|1500 G|1 млн. ч|металл|68.95x100x9.5 мм|84 г||||||||||||||||||||
"HP For Server 3.5"" 691852-B21 691852-B21"|внутренний|для сервера|100 ГБ|"3.5"""|SATA 3|MLC|185 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 728732-B21 728732-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|130 МБ/с|410 МБ/с||||металл||||||||||||||||||||||
"HP For Server 3.5"" 728737-B21 728737-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC|250 МБ/с|475 МБ/с||||||||||||||||||||||||||
HP For Server 730059-B21 730059-B21|внутренний|для сервера|100 ГБ|"2.5"""|SATA 3|MLC|185 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 734362-B21 734362-B21"|внутренний|для сервера|80 ГБ|"3.5"""|SATA 3|MLC|100 МБ/с|335 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 756624-B21 756624-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|310 МБ/с|470 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 764931-B21 764931-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|205 МБ/с|430 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 764933-B21 764933-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC|325 МБ/с|420 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 764935-B21 764935-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC||||||||||||||||||||||||||||
"HP For Server 3.5"" 764939-B21 764939-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|205 МБ/с|430 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 764941-B21 764941-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC|325 МБ/с|420 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 764943-B21 764943-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC|390 МБ/с|420 МБ/с||||||||||||||||||||||||||
HP For Server 779164-B21 779164-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|510 МБ/с|1000 МБ/с||||||450 г||||||||||||||||||||
"HP For Server 3.5"" 756630-B21 756630-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|310 МБ/с|470 МБ/с||||||450 г||||||||||||||||||||
"HP For Server 3.5"" 718177-B21 718177-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC|250 МБ/с|475 МБ/с||||||||||||||||||||||||||
HP For Server 756642-B21 756642-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|460 МБ/с|470 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 728741-B21 728741-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC|400 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 756669-B21 756669-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC|470 МБ/с|470 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 734368-B21 734368-B21"|внутренний|для сервера|80 ГБ|"3.5"""|SATA 3|MLC||335 МБ/с||||||||||||||||||||||||||
HP For Server 739888-B21 739888-B21|внутренний|для сервера|300 ГБ|"2.5"""|SATA 3|MLC|||||||184x222x138 мм|450 г||||||||||||||||||||
"HP For Server 3.5"" 756639-B21 756639-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC||||||||1360 г||||||||||||||||||||
"HP For Server 3.5"" 789147-B21 789147-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC||||||||450 г||||||||||||||||||||
"HP For Server 3.5"" 816883-B21 816883-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC||||||||450 г||||||||||||||||||||
"HP For Server 3.5"" 653126-B21 653126-B21"|внутренний|для сервера|400 ГБ|"3.5"""|SATA 3|MLC|235 МБ/с|257 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 691854-B21 691854-B21"|внутренний|для сервера|200 ГБ|"3.5"""|SATA 3|MLC|350 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 691856-B21 691856-B21"|внутренний|для сервера|400 ГБ|"3.5"""|SATA 3|MLC|450 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 691860-B21 691860-B21"|внутренний|для сервера|800 ГБ|"3.5"""|SATA 3|MLC|450 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 741138-B21 741138-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|450 МБ/с|1000 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 816889-B21 816889-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|275 МБ/с|530 МБ/с||||||||||||||||||||||||||
HP For Server 822563-B21 822563-B21|внутренний|для сервера|1600 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
