|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
PNY Quadro K5200|PCI-E v3.0|Есть|1 шт|1 шт|2 шт|4|активное (кулер)|150 Вт|6 pin|2|267 мм|NVIDIA Quadro K5200|8 ГБ|GDDR5|256 бит|650 МГц|6000 МГц|28 нм|4096x2160 пикс|11|4.4|2304|5|192||||||||||||||||||||||
MSI GTX 1050 2G OC|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|177 мм|NVIDIA GeForce GTX 1050|2 ГБ|GDDR5|128 бит|1404 МГц|7000 МГц|14 нм|7680x4320 пикс|12|4.5|640|5|40|1 шт|1 шт|4667 балл(ов)|||||||||||||||||||
Gigabyte GeForce GTX 1050 OC 2G GV-N1050OC-2GD|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|191 мм|NVIDIA GeForce GTX 1050|2 ГБ|GDDR5|128 бит|1404 МГц|7008 МГц|14 нм|7680x4320 пикс|12|4.5|640|5|40|1 шт|2 шт|4667 балл(ов)|GV-N1050OC-2GD||||||||||||||||||
XFX Radeon VII 16GB|PCI-E v3.0||||3 шт|4|активное (кулер)|300 Вт|8 + 8 pin|2|267 мм|AMD Radeon VII|16 ГБ|HBM2|4096 бит|1750 МГц|2000 МГц|7 нм|7680x4320 пикс|12|4.5|3840||240|1 шт|3 шт|13465 балл(ов)||v.2.0b|v.1.4|650 Вт|Есть||||||||||||||
HP Quadro P2200 6YT67AA|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|75 Вт||1|200 мм|NVIDIA Quadro P2200|5 ГБ|GDDR5X|160 бит|1493 МГц|10000 МГц|16 нм|5120x3200 пикс|12|4.6|1280||||1 шт||||v.1.4|300 Вт|||||||||||||||
EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12G-P5-3955-KR|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.2|285 мм|NVIDIA GeForce RTX 3080 Ti|12 ГБ|GDDR6X|384 бит|1725 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|26784 балл(ов)|12G-P5-3955-KR|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere||||||||||||
ZOTAC GeForce RTX 4070 Ti SUPER Trinity OC White ZT-D40730Q-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|ZT-D40730Q-10P|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 4080 SUPER AMP Extreme AIRO ZT-D40820B-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.5|356 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|34155 балл(ов)|ZT-D40820B-10P|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
ZOTAC GeForce GTX 1660 Twin Fan ZT-T16600K-10M|PCI-E v3.0||||3 шт|4|активное (кулер)|120 Вт|8 pin|2|216 мм|NVIDIA GeForce GTX 1660|6 ГБ|GDDR5|192 бит|1785 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|11737 балл(ов)|ZT-T16600K-10M|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
HP Radeon Pro W5700 9GC15AA|PCI-E v4.0|Есть|||||активное (кулер)|||2||AMD Radeon Pro W5700|8 ГБ|GDDR6|256 бит|||||||||||1 шт||||||||||5 шт|1 шт|||||||||
XFX Radeon RX 6650 XT RX-665X8DFDY|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|241 мм|AMD Radeon RX 6650 XT|8 ГБ|GDDR6|128 бит|2635 МГц|17500 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|17886 балл(ов)||v.2.1|v.1.4|500 Вт|Есть||Big Navi (RDNA 2)||||||||||||
ZOTAC GeForce RTX 3070 AMP Holo ZT-A30700F-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|240 Вт|8 + 8 pin|2.5|291 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1785 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|21358 балл(ов)|ZT-A30700F-10P|v.2.1|v.1.4a|650 Вт|Есть||Ampere||||||||||||
Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G GV-N407TSEAGLEOC ICE-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|GV-N407TSEAGLEOC ICE-16GD|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce RTX 4080 SUPER Noctua OC RTX4080S-O16G-NOCTUA|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|4.3|310 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||2 шт|3 шт|34155 балл(ов)|RTX4080S-O16G-NOCTUA|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
PowerColor Radeon RX 7600 XT Fighter RX 7600 XT 16G-F|PCI-E v4.0||||3 шт|4|активное (кулер)|190 Вт|8 pin|2|232 мм|AMD Radeon RX 7600 XT|16 ГБ|GDDR6|128 бит|2755 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||RX 7600 XT 16G-F|v.2.1|v.2.1|600 Вт|||Navi 3X (RDNA 3)||||||||||||
ZOTAC GeForce RTX 4070 Ti SUPER Trinity Black ZT-D40730D-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|ZT-D40730D-10P|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4070 SUPER ProArt OC PROART-RTX4070S-O12G|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|300 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2565 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт|30564 балл(ов)|PROART-RTX4070S-O12G|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 3060 Ti Twin Edge OC ZT-A30610H-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|222 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|ZT-A30610H-10M|v.2.1|v.1.4a|650 Вт|Есть||Ampere||||||||||||
MSI GeForce RTX 4080 SUPER 16G EXPERT|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|312 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|2 шт|34155 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce GTX 1650 SUPER TUF OC TUF-GTX1650S-O4G-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)||6 pin|2|206 мм|NVIDIA GeForce GTX 1650 SUPER|4 ГБ|GDDR6|128 бит|1800 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1280||80|1 шт|2 шт|8051 балл(ов)|TUF-GTX1650S-O4G-GAMING|v.2.0b|v.1.4|350 Вт|Есть||||||||||||||
HP Quadro 600 WS093AA|PCI-E v2.0|Есть||1 шт|1 шт|2|активное (кулер)|40 Вт||1|168 мм|NVIDIA Quadro 600|1 ГБ|GDDR3|128 бит||||2560x1600 пикс|11|4.1|96|5|||||WS093AA|||||||||||Есть|||||||
MSI GeForce RTX 3050 LP 6G|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|174 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere|||||Есть|||||||
PNY Quadro T600 VCNT600-PB|PCI-E v3.0|Есть||||3|активное (кулер)|40 Вт||1||NVIDIA Quadro T600|4 ГБ|GDDR6|128 бит||||7680x4320 пикс|12|4.5|640||||1 шт||||||||||4 шт||||||||||
ASRock Radeon RX 6700 XT Challenger Pro 12GB RX6700XT CLP 12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.5|303 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|3 шт|18878 балл(ов)|RX6700XT CLP 12G|v.2.1|v.1.4a|700 Вт|Есть||Big Navi (RDNA 2)||||||Есть||||||
ZOTAC GeForce GTX 1660 Ti 6GB GDDR6 ZT-T16610F-10L|PCI-E v3.0||||3 шт|4|активное (кулер)|120 Вт|8 pin|2|173 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1770 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)|ZT-T16610F-10L|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Asus GeForce RTX 3070 ROG Strix OC ROG-STRIX-RTX3070-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1935 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|3 шт|21358 балл(ов)|ROG-STRIX-RTX3070-O8G-GAMING|v.2.1|v.1.4a|750 Вт|Есть||Ampere|Есть|||Asus Aura Sync||||||||
