|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
Seagate Savvio 10K.3 ST9146803SS ST9146803SS|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|1 шт|4 мс|3.2 Вт|60 G|31 дБ|1.6 млн. ч|||||||||||||||||
Seagate Savvio 10K.3 ST9300603SS ST9300603SS|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|2 шт|4 мс|3.5 Вт|60 G|31 дБ|1.6 млн. ч|||||||||||||||||
Seagate Barracuda 7200.12 ST31000524AS ST31000524AS|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|25 дБ|0.75 млн. ч|2 года|9.4 Вт|27 дБ||||||||||||||
Seagate Savvio 15K.2 ST9146852SS ST9146852SS|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин||3 мс|4.4 Вт|20 G||1.6 млн. ч|3 года|7.2 Вт|||||||||||||||
Seagate Barracuda ST31000528AS ST31000528AS|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|25 дБ|0.75 млн. ч|5 лет|9.4 Вт|27 дБ||||||||||||||
Seagate Barracuda Green ST32000542AS ST32000542AS|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|5900 об/мин||16 мс|5.5 Вт|70 G|25 дБ|50 тыс. раз||6.8 Вт|26 дБ|режим экономии энергии|||||||||||||
"Seagate Momentus 2.5"" ST9500420AS ST9500420AS"|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|16 МБ|7200 об/мин||14 мс|0.67 Вт|350 G|23 дБ|600 тыс. раз||1.55 Вт|25 дБ||||||||||||||
Seagate Momentus XT ST95005620AS ST95005620AS|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|32 МБ|7200 об/мин||11 мс|0.8 Вт|350 G|23 дБ|600 тыс. раз||1.55 Вт|25 дБ||||||||||||||
"Seagate Constellation 2.5"" ST9500530NS ST9500530NS"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|2.6 Вт|70 G||1.2 млн. ч||3.5 Вт||режим экономии энергии|||||||||||||
Seagate Constellation ES ST31000524NS ST31000524NS|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|22 дБ|1.2 млн. ч||9.8 Вт|||||||||||||||
Seagate Constellation ES ST32000644NS ST32000644NS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2|64 МБ|7200 об/мин||9 мс|7 Вт|70 G|22 дБ|1.2 млн. ч||11.2 Вт|||||||||||||||
Seagate Constellation ES ST32000444SS ST32000444SS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|8 Вт|70 G|27 дБ|1.2 млн. ч||12.2 Вт|||||||||||||||
Seagate Constellation ES ST31000424SS ST31000424SS|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|6 Вт|70 G|22 дБ|1.2 млн. ч||10.8 Вт|||||||||||||||
Seagate Constellation ES ST3500414SS ST3500414SS|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|5.6 Вт|70 G|19 дБ|1.2 млн. ч||10.4 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3146356SS ST3146356SS|встраиваемый|HDD|для ПК|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|2 шт|3 мс|9.6 Вт|25 G|36 дБ|1.6 млн. ч||14.4 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3300656SS ST3300656SS|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|3 шт|3 мс|11.1 Вт|25 G|36 дБ|1.6 млн. ч||15.8 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3450856SS ST3450856SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|4 шт|3 мс|11.68 Вт|25 G|36 дБ|1.6 млн. ч||16.35 Вт|||||||||||||||
Seagate Barracuda ST3750330NS ST3750330NS|встраиваемый|HDD|для ПК|750 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|||||5 лет||||||||||||||||
"Seagate Constellation 2.5"" ST9500620SS ST9500620SS"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SAS|64 МБ|7200 об/мин||8 мс|3.2 Вт|25 G||1.4 млн. ч||5.5 Вт||режим экономии энергии|||||||||||||
Seagate Savvio 10K.4 ST9600204SS ST9600204SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|16 МБ|10000 об/мин||4 мс|4.6 Вт|40 G||2 млн. ч||8.3 Вт|||||||||||||||
Seagate Constellation ES ST2000NM0011 ST2000NM0011|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч||9 Вт|||||||||||||||
Seagate Constellation ES ST1000NM0011 ST1000NM0011|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|4.6 Вт|70 G||1.2 млн. ч||6.2 Вт|||||||||||||||
Seagate Constellation ES.2 ST33000650NS ST33000650NS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|7.7 Вт|70 G||1.2 млн. ч|5 лет|10.7 Вт|||||||||||||||
Seagate Constellation ES.2 ST33000650SS ST33000650SS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч|5 лет|9 Вт|||||||||||||||
Seagate Constellation ES ST500NM0011 ST500NM0011|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|4.6 Вт|70 G||1.2 млн. ч||6.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9900805SS ST9900805SS|встраиваемый|HDD|для сервера|900 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|3 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9300605SS ST9300605SS|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|1 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9450405SS ST9450405SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9600205SS ST9600205SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Constellation ES ST2000NM0001 ST2000NM0001|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч||9 Вт|||||||||||||||
Seagate Barracuda 7200.14 ST1500DM003 ST1500DM003|встраиваемый|HDD|для ПК|1500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|2 шт|9 мс|0.75 Вт|||300 тыс. раз|2 года|6.7 Вт|||||||||||||||
Seagate Barracuda 7200.14 ST750DM003 ST750DM003|встраиваемый|HDD|для ПК|750 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|1 шт|11 мс|0.6 Вт|||300 тыс. раз|2 года|6 Вт|||||||||||||||
A-Data HD710 AHD710-1TU3 AHD710-1TU3|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус / MIL-STD-810G /|Есть|Есть|USB порт|прорезиненный|132x99x22 мм|220 г|||||||
